instance,config,struct,seed,edge_weight,current,best_batch,best,best_plus_negative_edge_weight,epochs_since_restart,current_temp,runtime_ms,chunks,algorithm,n_per_int,m_frac,p,true_disagreement,accuracy
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_venus_chunks_100.json, intervals8.json,1,64225,19153,19152,19152,-17066,50,0.0088900072360092,3088,100,venus,100.0,0.2,0.7,19194.0,0.975
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.7_disagreement_38404.json, config_gaia_chunks_10.json, intervals8.json,1,128270,41182,41169,41169,-30876,50,0.0,3106,10,gaia,100.0,0.4,0.7,38404.0,0.25
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_venus_chunks_10.json, intervals8.json,1,64225,19154,19152,19152,-17065,50,0.0039503241437609,3393,10,venus,100.0,0.2,0.7,19194.0,0.97625
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.8_disagreement_25751.json, config_gaia_chunks_10.json, intervals8.json,1,127978,30625,30625,30625,-45599,50,0.0,3468,10,gaia,100.0,0.4,0.8,25751.0,0.25875
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.5_disagreement_32046.json, config_gaia_chunks_100.json, intervals8.json,1,64225,26285,26285,26285,-6008,50,0.0,3913,100,gaia,100.0,0.2,0.5,32046.0,0.11375
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.8_disagreement_38241.json, config_gaia_chunks_100.json, intervals8.json,1,191789,45330,45330,45330,-68464,50,0.0,4244,100,gaia,100.0,0.6,0.8,38241.0,0.125
synthetic_graph_n-per-int_100_m-frac_0.4_p_1.0_disagreement_0.json, config_venus_chunks_100.json, intervals8.json,1,127569,0,0,0,-83808,50,0.1013235175867186,4581,100,venus,100.0,0.4,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.9_disagreement_12851.json, config_venus_chunks_10.json, intervals8.json,1,127978,12851,12851,12851,-67249,50,0.0675422568233066,4623,10,venus,100.0,0.4,0.9,12851.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.4_p_1.0_disagreement_0.json, config_venus_chunks_10.json, intervals8.json,1,127569,0,0,0,-83808,50,0.1013235175867186,4649,10,venus,100.0,0.4,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.8_disagreement_25751.json, config_venus_chunks_100.json, intervals8.json,1,127978,25751,25751,25751,-50473,50,0.0450236683984162,4778,100,venus,100.0,0.4,0.8,25751.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.6_disagreement_25624.json, config_gaia_chunks_10.json, intervals8.json,1,64225,25097,25084,25084,-9226,50,0.0,4883,10,gaia,100.0,0.2,0.6,25624.0,0.19375
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.9_disagreement_12851.json, config_venus_chunks_100.json, intervals8.json,1,127978,12851,12851,12851,-67249,50,0.0675422568233066,4802,100,venus,100.0,0.4,0.9,12851.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.8_disagreement_25751.json, config_gaia_chunks_100.json, intervals8.json,1,127978,30209,30208,30208,-46015,50,0.0,5005,100,gaia,100.0,0.4,0.8,25751.0,0.25
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.8_disagreement_38241.json, config_gaia_chunks_10.json, intervals8.json,1,191789,45330,45330,45330,-68464,50,0.0,4169,10,gaia,100.0,0.6,0.8,38241.0,0.125
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.7_disagreement_38404.json, config_venus_chunks_100.json, intervals8.json,1,128270,38403,38403,38403,-33655,50,0.0200065173844325,5469,100,venus,100.0,0.4,0.7,38404.0,0.9975
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.6_disagreement_51256.json, config_gaia_chunks_100.json, intervals8.json,1,127886,50838,50836,50836,-17283,50,0.0,6238,100,gaia,100.0,0.4,0.6,51256.0,0.84125
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.8_disagreement_25751.json, config_venus_chunks_10.json, intervals8.json,1,127978,30626,30625,30625,-45598,50,0.0300127773543842,6564,10,venus,100.0,0.4,0.8,25751.0,0.25375
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.6_disagreement_51256.json, config_gaia_chunks_10.json, intervals8.json,1,127886,50846,50838,50838,-17275,50,0.0,6686,10,gaia,100.0,0.4,0.6,51256.0,0.80625
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.7_disagreement_57716.json, config_gaia_chunks_10.json, intervals8.json,1,192162,62077,62060,62060,-45975,50,0.0,6608,10,gaia,100.0,0.6,0.7,57716.0,0.24875
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.5_disagreement_32046.json, config_venus_chunks_100.json, intervals8.json,1,64225,26135,26131,26131,-6158,50,9.1268861e-09,6982,100,venus,100.0,0.2,0.5,32046.0,0.13125
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.7_disagreement_57716.json, config_venus_chunks_100.json, intervals8.json,1,192162,57716,57716,57716,-50336,50,0.0675422568233066,7227,100,venus,100.0,0.6,0.7,57716.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.9_disagreement_19088.json, config_gaia_chunks_100.json, intervals8.json,1,191870,28616,28616,28616,-91644,50,0.0,5230,100,gaia,100.0,0.6,0.9,19088.0,0.24625
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.7_disagreement_57716.json, config_venus_chunks_10.json, intervals8.json,1,192162,57716,57716,57716,-50336,50,0.0450236683984162,7422,10,venus,100.0,0.6,0.7,57716.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.6_disagreement_51256.json, config_venus_chunks_100.json, intervals8.json,1,127886,50843,50842,50842,-17278,50,0.0007799988644162,7644,100,venus,100.0,0.4,0.6,51256.0,0.83
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.6_disagreement_51256.json, config_venus_chunks_10.json, intervals8.json,1,127886,50864,50846,50846,-17257,50,0.000346596832197,7709,10,venus,100.0,0.4,0.6,51256.0,0.82125
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.7_disagreement_57716.json, config_gaia_chunks_100.json, intervals8.json,1,192162,62053,62053,62053,-45999,50,0.0,7614,100,gaia,100.0,0.6,0.7,57716.0,0.24875
synthetic_graph_n-per-int_100_m-frac_0.6_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json,1,191666,11612,11612,11612,-114392,50,0.0,4632,100,gaia,100.0,0.6,1.0,0.0,0.68375
synthetic_graph_n-per-int_100_m-frac_0.6_p_1.0_disagreement_0.json, config_gaia_chunks_10.json, intervals8.json,1,191666,11612,11612,11612,-114392,50,0.0,4684,10,gaia,100.0,0.6,1.0,0.0,0.68625
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.5_disagreement_32046.json, config_venus_chunks_10.json, intervals8.json,1,64225,25998,25993,25993,-6295,50,8.007823e-10,8119,10,venus,100.0,0.2,0.5,32046.0,0.125
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.8_disagreement_38241.json, config_venus_chunks_10.json, intervals8.json,1,191789,41747,41747,41747,-72047,50,0.1013235175867186,5913,10,venus,100.0,0.6,0.8,38241.0,0.125
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.9_disagreement_19088.json, config_venus_chunks_100.json, intervals8.json,1,191870,19088,19088,19088,-101172,50,0.1520004764277207,6033,100,venus,100.0,0.6,0.9,19088.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.6_disagreement_25624.json, config_venus_chunks_100.json, intervals8.json,1,64225,25005,25004,25004,-9318,50,5.338015e-10,8433,100,venus,100.0,0.2,0.6,25624.0,0.135
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.6_disagreement_77086.json, config_gaia_chunks_10.json, intervals8.json,1,191685,77842,77829,77829,-24068,50,0.0,8475,10,gaia,100.0,0.6,0.6,77086.0,0.1625
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.6_disagreement_77086.json, config_gaia_chunks_100.json, intervals8.json,1,191685,77825,77823,77823,-24085,50,0.0,8718,100,gaia,100.0,0.6,0.6,77086.0,0.15625
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.6_disagreement_77086.json, config_venus_chunks_100.json, intervals8.json,1,191685,76920,76919,76919,-24990,50,0.0059260788235237,8923,100,venus,100.0,0.6,0.6,77086.0,0.93375
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.7_disagreement_76786.json, config_gaia_chunks_100.json, intervals8.json,1,255767,82981,82981,82981,-61043,50,0.0,5753,100,gaia,100.0,0.8,0.7,76786.0,0.24875
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.6_disagreement_77086.json, config_venus_chunks_10.json, intervals8.json,1,191685,76933,76922,76922,-24977,50,0.0059260788235237,9020,10,venus,100.0,0.6,0.6,77086.0,0.935
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.8_disagreement_38241.json, config_venus_chunks_100.json, intervals8.json,1,191789,38241,38241,38241,-75553,50,0.0675422568233066,7008,100,venus,100.0,0.6,0.8,38241.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.5_disagreement_32046.json, config_gaia_chunks_10.json, intervals8.json,1,64225,26068,26053,26053,-6225,50,0.0,9560,10,gaia,100.0,0.2,0.5,32046.0,0.11875
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.6_disagreement_102163.json, config_gaia_chunks_100.json, intervals8.json,1,255616,105072,105072,105072,-30457,50,0.0,6180,100,gaia,100.0,0.8,0.6,102163.0,0.12625
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.7_disagreement_38404.json, config_venus_chunks_10.json, intervals8.json,1,128270,41153,41143,41143,-30905,50,3.04100017409e-05,9646,10,venus,100.0,0.4,0.7,38404.0,0.4175
synthetic_graph_n-per-int_100_m-frac_0.6_p_1.0_disagreement_0.json, config_venus_chunks_10.json, intervals8.json,1,191666,0,0,0,-126004,50,0.1520004764277207,6431,10,venus,100.0,0.6,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.9_disagreement_19088.json, config_gaia_chunks_10.json, intervals8.json,1,191870,28616,28616,28616,-91644,50,0.0,7566,10,gaia,100.0,0.6,0.9,19088.0,0.25
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.9_disagreement_19088.json, config_venus_chunks_10.json, intervals8.json,1,191870,19088,19088,19088,-101172,50,0.1520004764277207,6560,10,venus,100.0,0.6,0.9,19088.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.6_p_1.0_disagreement_0.json, config_venus_chunks_100.json, intervals8.json,1,191666,0,0,0,-126004,50,0.1520004764277207,6593,100,venus,100.0,0.6,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.7_disagreement_76786.json, config_gaia_chunks_10.json, intervals8.json,1,255767,82979,82979,82979,-61045,50,0.0,6669,10,gaia,100.0,0.8,0.7,76786.0,0.2475
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.5_disagreement_63946.json, config_gaia_chunks_100.json, intervals8.json,1,127886,55741,55739,55739,-8298,50,0.0,10024,100,gaia,100.0,0.4,0.5,63946.0,0.1275
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.6_disagreement_25624.json, config_venus_chunks_10.json, intervals8.json,1,64225,24721,24699,24699,-9602,50,4.1092e-12,10330,10,venus,100.0,0.2,0.6,25624.0,0.41
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.5_disagreement_96158.json, config_gaia_chunks_10.json, intervals8.json,1,191961,85758,85722,85722,-10253,50,0.0,11074,10,gaia,100.0,0.6,0.5,96158.0,0.13375
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_gaia_chunks_100.json, intervals8.json,2,64225,20602,20602,20602,-15617,50,0.0,1509,100,gaia,100.0,0.2,0.7,19194.0,0.125
synthetic_graph_n-per-int_100_m-frac_0.8_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json,1,256009,23994,23994,23994,-144249,50,0.0,6872,100,gaia,100.0,0.8,1.0,0.0,0.2375
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.8_disagreement_51132.json, config_gaia_chunks_100.json, intervals8.json,1,256034,70204,70202,70202,-82145,50,0.0,7941,100,gaia,100.0,0.8,0.8,51132.0,0.1225
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.5_disagreement_63946.json, config_venus_chunks_100.json, intervals8.json,1,127886,55548,55543,55543,-8491,50,3.511841022e-07,12443,100,venus,100.0,0.4,0.5,63946.0,0.135
synthetic_graph_n-per-int_100_m-frac_0.8_p_1.0_disagreement_0.json, config_gaia_chunks_10.json, intervals8.json,1,256009,23994,23994,23994,-144249,50,0.0,7218,10,gaia,100.0,0.8,1.0,0.0,0.2375
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.5_disagreement_96158.json, config_venus_chunks_100.json, intervals8.json,1,191961,85608,85607,85607,-10403,50,0.0001540122294651,12585,100,venus,100.0,0.6,0.5,96158.0,0.1375
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.9_disagreement_25418.json, config_gaia_chunks_100.json, intervals8.json,1,255532,38229,38229,38229,-121565,50,0.0,7308,100,gaia,100.0,0.8,0.9,25418.0,0.27
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.6_disagreement_102163.json, config_gaia_chunks_10.json, intervals8.json,1,255616,105089,105073,105073,-30440,50,0.0,9392,10,gaia,100.0,0.8,0.6,102163.0,0.12625
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.7_disagreement_76786.json, config_venus_chunks_100.json, intervals8.json,1,255767,76786,76786,76786,-67238,50,0.0675422568233066,9514,100,venus,100.0,0.8,0.7,76786.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_gaia_chunks_10.json, intervals8.json,2,64225,20607,20603,20603,-15612,50,0.0,1726,10,gaia,100.0,0.2,0.7,19194.0,0.125
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.8_disagreement_51132.json, config_gaia_chunks_10.json, intervals8.json,1,256034,70208,70202,70202,-82141,50,0.0,8999,10,gaia,100.0,0.8,0.8,51132.0,0.13125
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.9_disagreement_25418.json, config_venus_chunks_10.json, intervals8.json,1,255532,25418,25418,25418,-134376,50,0.1520004764277207,7952,10,venus,100.0,0.8,0.9,25418.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.5_disagreement_63946.json, config_gaia_chunks_10.json, intervals8.json,1,127886,55361,55337,55337,-8678,50,0.0,13751,10,gaia,100.0,0.4,0.5,63946.0,0.14875
synthetic_graph_n-per-int_100_m-frac_0.8_p_1.0_disagreement_0.json, config_venus_chunks_100.json, intervals8.json,1,256009,0,0,0,-168243,50,0.2280235169932804,7331,100,venus,100.0,0.8,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.9_disagreement_25418.json, config_venus_chunks_100.json, intervals8.json,1,255532,25418,25418,25418,-134376,50,0.1520004764277207,8452,100,venus,100.0,0.8,0.9,25418.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.9_disagreement_25418.json, config_gaia_chunks_10.json, intervals8.json,1,255532,38229,38229,38229,-121565,50,0.0,8508,10,gaia,100.0,0.8,0.9,25418.0,0.2525
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.7_disagreement_76786.json, config_venus_chunks_10.json, intervals8.json,1,255767,76786,76786,76786,-67238,50,0.0450236683984162,9587,10,venus,100.0,0.8,0.7,76786.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.8_disagreement_51132.json, config_venus_chunks_100.json, intervals8.json,1,256034,51132,51132,51132,-101217,50,0.1520004764277207,8670,100,venus,100.0,0.8,0.8,51132.0,1.0
synthetic_graph_n-per-int_100_m-frac_1.0_p_0.6_disagreement_128274.json, config_gaia_chunks_100.json, intervals8.json,1,319600,130131,130131,130131,-39757,50,0.0,6702,100,gaia,100.0,1.0,0.6,128274.0,0.12625
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_gaia_chunks_100.json, intervals8.json,2,64087,14853,14853,14853,-23177,50,0.0,1620,100,gaia,100.0,0.2,0.8,12846.0,0.47375
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.8_disagreement_51132.json, config_venus_chunks_10.json, intervals8.json,1,256034,51132,51132,51132,-101217,50,0.1013235175867186,8934,10,venus,100.0,0.8,0.8,51132.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_gaia_chunks_10.json, intervals8.json,2,64087,14851,14846,14846,-23179,50,0.0,1806,10,gaia,100.0,0.2,0.8,12846.0,0.44375
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.5_disagreement_32046.json, config_gaia_chunks_100.json, intervals8.json,2,64225,26282,26280,26280,-6011,50,0.0,5019,100,gaia,100.0,0.2,0.5,32046.0,0.1225
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json,2,64087,0,0,0,-41986,50,0.0,1139,100,gaia,100.0,0.2,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.6_disagreement_102163.json, config_venus_chunks_10.json, intervals8.json,1,255616,102115,102109,102109,-33414,50,0.0088900072360092,11561,10,venus,100.0,0.8,0.6,102163.0,0.97625
synthetic_graph_n-per-int_100_m-frac_0.8_p_1.0_disagreement_0.json, config_venus_chunks_10.json, intervals8.json,1,256009,0,0,0,-168243,50,0.2280235169932804,8486,10,venus,100.0,0.8,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_gaia_chunks_10.json, intervals8.json,2,64087,0,0,0,-41986,50,0.0,1220,10,gaia,100.0,0.2,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_gaia_chunks_10.json, intervals8.json,2,64087,8093,8093,8093,-31900,50,0.0,1277,10,gaia,100.0,0.2,0.9,6499.0,0.125
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_gaia_chunks_100.json, intervals8.json,2,64087,8093,8093,8093,-31900,50,0.0,1392,100,gaia,100.0,0.2,0.9,6499.0,0.125
synthetic_graph_n-per-int_100_m-frac_1.0_p_0.7_disagreement_95991.json, config_gaia_chunks_10.json, intervals8.json,1,319600,104072,104070,104070,-75695,50,0.0,6663,10,gaia,100.0,1.0,0.7,95991.0,0.37875
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.5_disagreement_63946.json, config_venus_chunks_10.json, intervals8.json,1,127886,55365,55344,55344,-8674,50,5.338015e-10,15229,10,venus,100.0,0.4,0.5,63946.0,0.12625
synthetic_graph_n-per-int_100_m-frac_1.0_p_0.8_disagreement_64234.json, config_gaia_chunks_100.json, intervals8.json,1,319600,70290,70290,70290,-119514,50,0.0,6727,100,gaia,100.0,1.0,0.8,64234.0,0.125
synthetic_graph_n-per-int_100_m-frac_1.0_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json,1,319600,20000,20000,20000,-190000,50,0.0,5684,100,gaia,100.0,1.0,1.0,0.0,0.125
synthetic_graph_n-per-int_100_m-frac_1.0_p_0.8_disagreement_64234.json, config_gaia_chunks_10.json, intervals8.json,1,319600,70290,70290,70290,-119514,50,0.0,6797,10,gaia,100.0,1.0,0.8,64234.0,0.125
synthetic_graph_n-per-int_100_m-frac_1.0_p_1.0_disagreement_0.json, config_gaia_chunks_10.json, intervals8.json,1,319600,20000,20000,20000,-190000,50,0.0,5831,10,gaia,100.0,1.0,1.0,0.0,0.125
synthetic_graph_n-per-int_100_m-frac_1.0_p_0.7_disagreement_95991.json, config_gaia_chunks_100.json, intervals8.json,1,319600,104070,104070,104070,-75697,50,0.0,7088,100,gaia,100.0,1.0,0.7,95991.0,0.37875
synthetic_graph_n-per-int_100_m-frac_0.8_p_0.6_disagreement_102163.json, config_venus_chunks_100.json, intervals8.json,1,255616,104633,104632,104632,-30896,50,0.0059260788235237,12364,100,venus,100.0,0.8,0.6,102163.0,0.35
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.6_disagreement_25624.json, config_venus_chunks_100.json, intervals8.json,2,64225,24902,24902,24902,-9421,50,9.0076680452e-06,5169,100,venus,100.0,0.2,0.6,25624.0,0.175
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.5_disagreement_32046.json, config_venus_chunks_100.json, intervals8.json,2,64225,26090,26090,26090,-6203,50,2.02713071605e-05,5222,100,venus,100.0,0.2,0.5,32046.0,0.13625
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_venus_chunks_100.json, intervals8.json,2,64087,6499,6499,6499,-33494,50,0.0450236683984162,2397,100,venus,100.0,0.2,0.9,6499.0,1.0
synthetic_graph_n-per-int_100_m-frac_1.0_p_0.9_disagreement_32093.json, config_gaia_chunks_100.json, intervals8.json,1,319600,47981,47981,47981,-151802,50,0.0,7520,100,gaia,100.0,1.0,0.9,32093.0,0.25375
synthetic_graph_n-per-int_100_m-frac_1.0_p_0.6_disagreement_128274.json, config_gaia_chunks_10.json, intervals8.json,1,319600,130132,130131,130131,-39756,50,0.0,8702,10,gaia,100.0,1.0,0.6,128274.0,0.12625
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_venus_chunks_10.json, intervals8.json,2,64225,19155,19152,19152,-17064,50,0.0011701153081551,3725,10,venus,100.0,0.2,0.7,19194.0,0.9725
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_venus_chunks_100.json, intervals8.json,2,64087,12845,12845,12845,-25185,50,0.0200065173844325,2918,100,venus,100.0,0.2,0.8,12846.0,0.99875
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_venus_chunks_10.json, intervals8.json,2,64087,12846,12845,12845,-25184,50,0.0200065173844325,2968,10,venus,100.0,0.2,0.8,12846.0,0.99875
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_venus_chunks_100.json, intervals8.json,2,64087,0,0,0,-41986,50,0.0675422568233066,2341,100,venus,100.0,0.2,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_1.0_p_0.9_disagreement_32093.json, config_gaia_chunks_10.json, intervals8.json,1,319600,47981,47981,47981,-151802,50,0.0,7463,10,gaia,100.0,1.0,0.9,32093.0,0.24375
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.7_disagreement_38404.json, config_gaia_chunks_100.json, intervals8.json,2,128270,39947,39947,39947,-32111,50,0.0,2250,100,gaia,100.0,0.4,0.7,38404.0,0.135
